1x,1y,2x,2y,3x,3y,4x,4y,5x,5y
565,961,1288,1234,1030,390,2096,895,428,482
597,929,1308,1134,1072,431,2095,1025,464,518
629,897,1309,1041,1155,516,2033,1174,522,550
631,711,1466,971,1154,600,1928,1254,602,550
717,708,1550,971,1154,668,1872,1215,698,550
792,708,1610,971,1154,852,1833,1254,777,550
861,709,1705,814,1154,979,1763,1281,913,621
924,771,1794,831,1154,1050,1679,1281,997,704
1016,823,1797,892,1239,1185,1616,1281,1105,813
1095,823,1906,894,1288,1234,1549,1281,1154,852
1109,974,1994,894,1379,1281,1498,1216,1284,808
1154,1040,2096,894,1444,1190,1498,1068,1341,808
1201,1041,2213,894,1454,1041,1466,972,1466,808
1260,1041,2286,950,1466,960,1504,875,1568,808
1309,1041,2396,1021,1466,809,1568,808,1702,808
1444,1041,2461,1021,1466,692,1596,727,1749,760
1499,1068,2515,1021,1566,584,1670,653,1819,747
1549,1117,2571,1021,1566,446,1830,627,1954,737
1606,1160,,,1566,357,1911,549,1960,602
1702,1065,,,1630,279,2001,458,1912,548
1797,892,,,1709,235,2053,405,1906,451
1876,814,,,1806,235,2144,401,1861,405
1954,737,,,1895,279,,,1823,367
2067,635,,,1986,279,,,1748,292
2256,562,,,2086,342,,,1688,278
2278,495,,,2144,400,,,1630,277
2306,437,,,,,,,,
2405,496,,,,,,,,
2474,573,,,,,,,,
2474,653,,,,,,,,
